"","binID","start","cata","aRead","bRead","aNorm","bNorm"
"6735","chrY_9853000"," 9852900",2,3,5,23.0769231,38.4615385
"1842","chrY_9853000"," 9852900",1,2,2,15.3846154,15.3846154
"13803","chrY_9853900"," 9853800",3,31,39,55.3571429,79.5918367
"6736","chrY_9853900"," 9853800",2,16,4,28.5714286,8.1632653
"1843","chrY_9853900"," 9853800",1,9,6,16.0714286,12.244898
"13804","chrY_9854000"," 9853900",3,29,35,69.047619,62.5
"6737","chrY_9854000"," 9853900",2,9,18,21.4285714,32.1428571
"1844","chrY_9854000"," 9853900",1,4,3,9.5238095,5.3571429
"13805","chrY_9854400"," 9854300",3,38,29,88.372093,67.4418605
"6738","chrY_9854400"," 9854300",2,5,14,11.627907,32.5581395
"13806","chrY_9854800"," 9854700",3,22,18,91.6666667,85.7142857
"1845","chrY_9854800"," 9854700",1,2,3,8.3333333,14.2857143
"13807","chrY_9855000"," 9854900",3,17,11,62.962963,44
"6739","chrY_9855000"," 9854900",2,10,14,37.037037,56
"13808","chrY_9855400"," 9855300",3,30,44,73.1707317,86.2745098
"6740","chrY_9855400"," 9855300",2,11,7,26.8292683,13.7254902
"13809","chrY_9855700"," 9855600",3,7,10,53.8461538,62.5
"6741","chrY_9855700"," 9855600",2,4,3,30.7692308,18.75
"1846","chrY_9855700"," 9855600",1,2,3,15.3846154,18.75
"13810","chrY_9856000"," 9855900",3,20,7,52.6315789,26.9230769
"6742","chrY_9856000"," 9855900",2,9,16,23.6842105,61.5384615
"1847","chrY_9856000"," 9855900",1,9,3,23.6842105,11.5384615
"13811","chrY_9856700"," 9856600",3,2,6,10.5263158,16.6666667
"6743","chrY_9856700"," 9856600",2,4,19,21.0526316,52.7777777
"1848","chrY_9856700"," 9856600",1,13,11,68.4210526,30.5555556
"13812","chrY_9856800"," 9856700",3,28,25,57.1428571,46.2962963
"6744","chrY_9856800"," 9856700",2,8,16,16.3265307,29.6296297
"1849","chrY_9856800"," 9856700",1,13,13,26.5306122,24.0740741
"13813","chrY_9857600"," 9857500",3,14,20,37.8378378,45.4545455
"6745","chrY_9857600"," 9857500",2,13,18,35.1351351,40.9090909
"1850","chrY_9857600"," 9857500",1,10,6,27.027027,13.6363636
"13814","chrY_9857700"," 9857600",3,49,61,84.4827586,89.7058824
"6746","chrY_9857700"," 9857600",2,5,3,8.6206897,4.4117647
"1851","chrY_9857700"," 9857600",1,4,4,6.8965517,5.8823529
"13815","chrY_9860300"," 9860200",3,6,12,54.5454545,80
"6747","chrY_9860300"," 9860200",2,1,3,9.0909091,20
"1852","chrY_9860300"," 9860200",1,4,0,36.3636364,0
"13816","chrY_9862100"," 9862000",3,21,22,45.6521739,56.4102564
"6748","chrY_9862100"," 9862000",2,18,14,39.1304348,35.8974358
"1853","chrY_9862100"," 9862000",1,7,3,15.2173913,7.6923077
"13817","chrY_9862500"," 9862400",3,5,5,62.5,29.4117647
"6749","chrY_9862500"," 9862400",2,3,12,37.5,70.5882353
"13818","chrY_9866800"," 9866700",3,11,23,42.3076923,67.6470588
"6750","chrY_9866800"," 9866700",2,6,8,23.0769231,23.5294118
"1854","chrY_9866800"," 9866700",1,9,3,34.6153846,8.8235294
"13819","chrY_9867500"," 9867400",3,52,42,78.7878788,79.245283
"6751","chrY_9867500"," 9867400",2,13,7,19.6969697,13.2075472
"1855","chrY_9867500"," 9867400",1,1,4,1.5151515,7.5471698
"13820","chrY_9867700"," 9867600",3,14,14,58.3333333,43.75
"6752","chrY_9867700"," 9867600",2,6,15,25,46.875
"1856","chrY_9867700"," 9867600",1,4,3,16.6666667,9.375
"13821","chrY_9868700"," 9868600",3,8,5,26.6666667,20
"6753","chrY_9868700"," 9868600",2,8,8,26.6666667,32
"1857","chrY_9868700"," 9868600",1,14,12,46.6666667,48
"13822","chrY_9869600"," 9869500",3,7,10,33.3333333,71.4285714
"6754","chrY_9869600"," 9869500",2,10,2,47.6190476,14.2857143
"1858","chrY_9869600"," 9869500",1,4,2,19.047619,14.2857143
"13823","chrY_9874100"," 9874000",3,14,24,82.3529412,92.3076923
"6755","chrY_9874100"," 9874000",2,3,2,17.6470588,7.6923077
"13824","chrY_9874200"," 9874100",3,14,33,82.3529412,80.4878049
"6756","chrY_9874200"," 9874100",2,1,3,5.8823529,7.3170732
"1859","chrY_9874200"," 9874100",1,2,5,11.7647059,12.195122
"13825","chrY_9886300"," 9886200",3,21,42,63.6363636,84
"6757","chrY_9886300"," 9886200",2,9,6,27.2727273,12
"1860","chrY_9886300"," 9886200",1,3,2,9.0909091,4
"13826","chrY_9888500"," 9888400",3,22,21,46.8085106,52.5
"6758","chrY_9888500"," 9888400",2,18,15,38.2978724,37.5
"1861","chrY_9888500"," 9888400",1,7,4,14.893617,10
"13827","chrY_9889300"," 9889200",3,15,11,35.7142857,28.2051282
"6759","chrY_9889300"," 9889200",2,21,26,50,66.6666667
"1862","chrY_9889300"," 9889200",1,6,2,14.2857143,5.1282051
"13828","chrY_9894800"," 9894700",3,7,13,29.1666667,44.8275862
"6760","chrY_9894800"," 9894700",2,10,8,41.6666666,27.5862069
"1863","chrY_9894800"," 9894700",1,7,8,29.1666667,27.5862069
"13829","chrY_9895000"," 9894900",3,36,30,81.8181818,75
"6761","chrY_9895000"," 9894900",2,3,6,6.8181818,15
"1864","chrY_9895000"," 9894900",1,5,4,11.3636364,10
"13830","chrY_9897200"," 9897100",3,12,16,70.5882353,69.5652174
"1865","chrY_9897200"," 9897100",1,5,7,29.4117647,30.4347826
"13831","chrY_9898300"," 9898200",3,24,29,57.1428571,69.047619
"6762","chrY_9898300"," 9898200",2,13,9,30.952381,21.4285714
"1866","chrY_9898300"," 9898200",1,5,4,11.9047619,9.5238095
"13832","chrY_9899600"," 9899500",3,22,31,56.4102564,81.5789474
"6763","chrY_9899600"," 9899500",2,17,7,43.5897436,18.4210526
"13833","chrY_9901900"," 9901800",3,19,15,79.1666667,53.5714286
"6764","chrY_9901900"," 9901800",2,4,9,16.6666666,32.1428572
"1867","chrY_9901900"," 9901800",1,1,4,4.1666667,14.2857143
"13834","chrY_9902400"," 9902300",3,26,20,100,100
"13835","chrY_9903000"," 9902900",3,14,11,73.6842105,52.3809524
"6765","chrY_9903000"," 9902900",2,5,10,26.3157895,47.6190476
"13836","chrY_9904900"," 9904800",3,18,22,62.0689655,53.6585366
"6766","chrY_9904900"," 9904800",2,8,14,27.5862068,34.1463415
"1868","chrY_9904900"," 9904800",1,3,5,10.3448276,12.195122
"13837","chrY_9906300"," 9906200",3,10,17,55.5555556,73.9130435
"6767","chrY_9906300"," 9906200",2,8,6,44.4444444,26.0869565
"13838","chrY_9908700"," 9908600",3,6,8,28.5714286,47.0588235
"6768","chrY_9908700"," 9908600",2,3,8,14.2857143,47.0588235
"1869","chrY_9908700"," 9908600",1,12,1,57.1428571,5.8823529
"13839","chrY_9909700"," 9909600",3,31,18,77.5,60
"6769","chrY_9909700"," 9909600",2,8,9,20,30
"1870","chrY_9909700"," 9909600",1,1,3,2.5,10
"13840","chrY_9910300"," 9910200",3,17,16,80.952381,80
"6770","chrY_9910300"," 9910200",2,4,4,19.047619,20
"13841","chrY_9910400"," 9910300",3,6,1,31.5789474,14.2857143
"6771","chrY_9910400"," 9910300",2,13,6,68.4210526,85.7142857
"13842","chrY_9911300"," 9911200",3,30,21,93.75,77.7777778
"6772","chrY_9911300"," 9911200",2,2,6,6.25,22.2222222
"13843","chrY_9913000"," 9912900",3,20,18,68.9655172,58.0645161
"6773","chrY_9913000"," 9912900",2,9,13,31.0344827,41.9354839
"13844","chrY_9913800"," 9913700",3,9,15,81.8181818,88.2352941
"6774","chrY_9913800"," 9913700",2,2,2,18.1818182,11.7647059
"13845","chrY_9914400"," 9914300",3,26,31,60.4651163,70.4545455
"6775","chrY_9914400"," 9914300",2,7,3,16.2790698,6.8181818
"1871","chrY_9914400"," 9914300",1,10,10,23.255814,22.7272727
"13846","chrY_9915900"," 9915800",3,23,33,65.7142857,62.2641509
"6776","chrY_9915900"," 9915800",2,10,16,28.5714286,30.1886793
"1872","chrY_9915900"," 9915800",1,2,4,5.7142857,7.5471698
"13847","chrY_9917200"," 9917100",3,32,23,68.0851064,63.8888889
"6777","chrY_9917200"," 9917100",2,12,11,25.5319148,30.5555556
"1873","chrY_9917200"," 9917100",1,3,2,6.3829787,5.5555556
"13848","chrY_9917400"," 9917300",3,24,23,68.5714286,63.8888889
"6778","chrY_9917400"," 9917300",2,6,8,17.1428572,22.2222222
"1874","chrY_9917400"," 9917300",1,5,5,14.2857143,13.8888889
"13849","chrY_9917700"," 9917600",3,30,32,58.8235294,58.1818182
"6779","chrY_9917700"," 9917600",2,12,18,23.5294118,32.7272727
"1875","chrY_9917700"," 9917600",1,9,5,17.6470588,9.0909091
"13850","chrY_9918200"," 9918100",3,39,31,69.6428571,50
"6780","chrY_9918200"," 9918100",2,11,23,19.6428572,37.0967742
"1876","chrY_9918200"," 9918100",1,6,8,10.7142857,12.9032258
"13851","chrY_9919500"," 9919400",3,29,32,87.8787879,80
"6781","chrY_9919500"," 9919400",2,4,8,12.1212121,20
"13852","chrY_9922700"," 9922600",3,25,34,73.5294118,82.9268293
"6782","chrY_9922700"," 9922600",2,9,7,26.4705882,17.0731707
"13853","chrY_9922800"," 9922700",3,17,30,62.962963,63.8297872
"6783","chrY_9922800"," 9922700",2,10,13,37.037037,27.6595745
"1877","chrY_9922800"," 9922700",1,0,4,0,8.5106383
"13854","chrY_9922900"," 9922800",3,30,30,100,100.0000001
"13855","chrY_9923300"," 9923200",3,40,50,78.4313725,81.9672131
"6784","chrY_9923300"," 9923200",2,11,11,21.5686275,18.0327869
"13856","chrY_9923500"," 9923400",3,29,30,87.8787879,100
"6785","chrY_9923500"," 9923400",2,4,0,12.1212121,0
"13857","chrY_9924300"," 9924200",3,34,48,62.962963,57.8313253
"6786","chrY_9924300"," 9924200",2,18,30,33.3333333,36.1445783
"1878","chrY_9924300"," 9924200",1,2,5,3.7037037,6.0240964
"13858","chrY_9926300"," 9926200",3,4,15,36.3636364,78.9473684
"6787","chrY_9926300"," 9926200",2,2,2,18.1818182,10.5263158
"1879","chrY_9926300"," 9926200",1,5,2,45.4545455,10.5263158
"13859","chrY_9926600"," 9926500",3,10,8,55.5555556,50
"6788","chrY_9926600"," 9926500",2,4,1,22.2222222,6.25
"1880","chrY_9926600"," 9926500",1,4,7,22.2222222,43.75
"13860","chrY_9926700"," 9926600",3,24,38,68.5714286,80.8510638
"6789","chrY_9926700"," 9926600",2,7,7,20,14.893617
"1881","chrY_9926700"," 9926600",1,4,2,11.4285714,4.2553191
"13861","chrY_9929100"," 9929000",3,14,8,73.6842105,53.3333333
"6790","chrY_9929100"," 9929000",2,4,4,21.0526316,26.6666667
"1882","chrY_9929100"," 9929000",1,1,3,5.2631579,20
"13862","chrY_9929500"," 9929400",3,25,20,78.125,76.9230769
"6791","chrY_9929500"," 9929400",2,3,4,9.375,15.3846154
"1883","chrY_9929500"," 9929400",1,4,2,12.5,7.6923077
"13863","chrY_9933400"," 9933300",3,13,25,46.4285714,92.5925926
"6792","chrY_9933400"," 9933300",2,15,2,53.5714286,7.4074074
"13864","chrY_9934500"," 9934400",3,6,20,16.6666667,42.5531915
"6793","chrY_9934500"," 9934400",2,25,26,69.4444444,55.3191489
"1884","chrY_9934500"," 9934400",1,5,1,13.8888889,2.1276596
"13865","chrY_9936000"," 9935900",3,19,21,86.3636364,95.4545455
"1885","chrY_9936000"," 9935900",1,3,1,13.6363636,4.5454545
"13866","chrY_9936400"," 9936300",3,26,22,81.25,70.9677419
"6794","chrY_9936400"," 9936300",2,2,2,6.25,6.4516129
"1886","chrY_9936400"," 9936300",1,4,7,12.5,22.5806452
"13867","chrY_9938200"," 9938100",3,25,38,67.5675676,79.1666667
"6795","chrY_9938200"," 9938100",2,8,8,21.6216216,16.6666667
"1887","chrY_9938200"," 9938100",1,4,2,10.8108108,4.1666667
"13868","chrY_9941400"," 9941300",3,11,17,47.826087,62.962963
"6796","chrY_9941400"," 9941300",2,10,7,43.4782608,25.9259259
"1888","chrY_9941400"," 9941300",1,2,3,8.6956522,11.1111111
"13869","chrY_9942100"," 9942000",3,6,11,60,78.5714286
"6797","chrY_9942100"," 9942000",2,4,3,40,21.4285714
"13870","chrY_9945600"," 9945500",3,12,20,46.1538462,58.8235294
"6798","chrY_9945600"," 9945500",2,11,12,42.3076923,35.2941177
"1889","chrY_9945600"," 9945500",1,3,2,11.5384615,5.8823529
"13871","chrY_9947100"," 9947000",3,6,1,16.6666667,2.7027027
"6799","chrY_9947100"," 9947000",2,10,6,27.7777778,16.2162162
"1890","chrY_9947100"," 9947000",1,20,30,55.5555556,81.0810811
"13872","chrY_9948100"," 9948000",3,48,68,78.6885246,79.0697674
"6800","chrY_9948100"," 9948000",2,13,18,21.3114754,20.9302326
"13873","chrY_9948700"," 9948600",3,15,19,50,51.3513514
"6801","chrY_9948700"," 9948600",2,12,12,40,32.4324324
"1891","chrY_9948700"," 9948600",1,3,6,10,16.2162162
"13874","chrY_9949600"," 9949500",3,12,19,50,42.2222222
"6802","chrY_9949600"," 9949500",2,10,21,41.6666667,46.6666667
"1892","chrY_9949600"," 9949500",1,2,5,8.3333333,11.1111111
"13875","chrY_9951100"," 9951000",3,34,29,82.9268293,76.3157895
"6803","chrY_9951100"," 9951000",2,7,9,17.0731707,23.6842105
"13876","chrY_9951200"," 9951100",3,21,18,75,47.3684211
"6804","chrY_9951200"," 9951100",2,5,18,17.8571428,47.3684211
"1893","chrY_9951200"," 9951100",1,2,2,7.1428571,5.2631579
"13877","chrY_9951500"," 9951400",3,22,21,70.9677419,75
"6805","chrY_9951500"," 9951400",2,6,4,19.3548387,14.2857143
"1894","chrY_9951500"," 9951400",1,3,3,9.6774194,10.7142857
"13878","chrY_9951900"," 9951800",3,19,22,54.2857143,48.8888889
"6806","chrY_9951900"," 9951800",2,14,17,40,37.7777778
"1895","chrY_9951900"," 9951800",1,2,6,5.7142857,13.3333333
"13879","chrY_9953000"," 9952900",3,16,17,59.2592593,58.6206897
"6807","chrY_9953000"," 9952900",2,11,12,40.7407407,41.3793103
"13880","chrY_9953500"," 9953400",3,32,41,88.8888889,87.2340426
"6808","chrY_9953500"," 9953400",2,2,2,5.5555556,4.2553191
"1896","chrY_9953500"," 9953400",1,2,4,5.5555556,8.5106383
"13881","chrY_9954600"," 9954500",3,15,15,57.6923077,57.6923077
"6809","chrY_9954600"," 9954500",2,8,10,30.7692308,38.4615385
"1897","chrY_9954600"," 9954500",1,3,1,11.5384615,3.8461538
"13882","chrY_9954800"," 9954700",3,12,15,48,35.7142857
"6810","chrY_9954800"," 9954700",2,10,19,40,45.2380953
"1898","chrY_9954800"," 9954700",1,3,8,12,19.047619
"13883","chrY_9957300"," 9957200",3,29,30,82.8571429,90.909091
"6811","chrY_9957300"," 9957200",2,3,2,8.5714286,6.0606061
"1899","chrY_9957300"," 9957200",1,3,1,8.5714286,3.030303
"13884","chrY_9957500"," 9957400",3,39,42,76.4705882,77.7777778
"6812","chrY_9957500"," 9957400",2,7,12,13.7254902,22.2222222
"1900","chrY_9957500"," 9957400",1,5,0,9.8039216,0
"13885","chrY_9958300"," 9958200",3,13,7,32.5,26.9230769
"6813","chrY_9958300"," 9958200",2,17,14,42.5,53.8461539
"1901","chrY_9958300"," 9958200",1,10,5,25,19.2307692
"13886","chrY_9960500"," 9960400",3,28,32,71.7948718,61.5384615
"6814","chrY_9960500"," 9960400",2,7,16,17.9487179,30.7692308
"1902","chrY_9960500"," 9960400",1,4,4,10.2564103,7.6923077
"13887","chrY_9962300"," 9962200",3,11,8,73.3333333,36.3636364
"6815","chrY_9962300"," 9962200",2,4,14,26.6666667,63.6363636
"13888","chrY_9964900"," 9964800",3,24,31,77.4193548,63.2653061
"6816","chrY_9964900"," 9964800",2,7,18,22.5806452,36.7346939
"13889","chrY_9965100"," 9965000",3,11,10,57.8947368,90.9090909
"6817","chrY_9965100"," 9965000",2,8,1,42.1052632,9.0909091
"13890","chrY_9966200"," 9966100",3,15,10,53.5714286,40
"6818","chrY_9966200"," 9966100",2,8,12,28.5714286,48
"1903","chrY_9966200"," 9966100",1,5,3,17.8571429,12
"13891","chrY_9971000"," 9970900",3,16,18,50,69.2307692
"6819","chrY_9971000"," 9970900",2,8,4,25,15.3846154
"1904","chrY_9971000"," 9970900",1,8,4,25,15.3846154
"13892","chrY_9973100"," 9973000",3,15,17,88.2352941,89.4736842
"6820","chrY_9973100"," 9973000",2,2,2,11.7647059,10.5263158
"13893","chrY_9974200"," 9974100",3,15,17,34.0909091,36.9565217
"6821","chrY_9974200"," 9974100",2,27,20,61.3636364,43.4782609
"1905","chrY_9974200"," 9974100",1,2,9,4.5454545,19.5652174
"13894","chrY_9974300"," 9974200",3,29,21,65.9090909,65.625
"6822","chrY_9974300"," 9974200",2,10,8,22.7272727,25
"1906","chrY_9974300"," 9974200",1,5,3,11.3636364,9.375
"13895","chrY_9974400"," 9974300",3,25,27,78.125,67.5
"6823","chrY_9974400"," 9974300",2,6,9,18.75,22.5
"1907","chrY_9974400"," 9974300",1,1,4,3.125,10
"13896","chrY_9974700"," 9974600",3,13,20,48.1481481,44.4444444
"6824","chrY_9974700"," 9974600",2,12,16,44.4444444,35.5555555
"1908","chrY_9974700"," 9974600",1,2,9,7.4074074,20
"13897","chrY_9975200"," 9975100",3,2,6,20,37.5
"6825","chrY_9975200"," 9975100",2,8,10,80,62.5
"13898","chrY_9976400"," 9976300",3,31,44,73.8095238,69.8412698
"6826","chrY_9976400"," 9976300",2,11,15,26.1904762,23.8095238
"1909","chrY_9976400"," 9976300",1,0,4,0,6.3492063
"13899","chrY_9979200"," 9979100",3,22,18,78.5714286,81.8181818
"6827","chrY_9979200"," 9979100",2,3,1,10.7142857,4.5454545
"1910","chrY_9979200"," 9979100",1,3,3,10.7142857,13.6363636
"13900","chrY_9982400"," 9982300",3,8,14,47.0588235,63.6363636
"6828","chrY_9982400"," 9982300",2,5,8,29.4117647,36.3636364
"1911","chrY_9982400"," 9982300",1,4,0,23.5294118,0
"13901","chrY_9982700"," 9982600",3,6,5,22.2222222,50
"6829","chrY_9982700"," 9982600",2,21,5,77.7777778,50
"13902","chrY_9983800"," 9983700",3,27,22,71.0526316,73.3333333
"6830","chrY_9983800"," 9983700",2,4,2,10.5263158,6.6666667
"1912","chrY_9983800"," 9983700",1,7,6,18.4210526,20
"13903","chrY_9983900"," 9983800",3,8,7,44.4444444,31.8181818
"6831","chrY_9983900"," 9983800",2,7,7,38.8888889,31.8181818
"1913","chrY_9983900"," 9983800",1,3,8,16.6666667,36.3636364
"13904","chrY_9986600"," 9986500",3,20,29,57.1428571,80.5555556
"6832","chrY_9986600"," 9986500",2,15,7,42.8571429,19.4444444
"13905","chrY_9987100"," 9987000",3,23,49,65.7142857,94.2307692
"6833","chrY_9987100"," 9987000",2,9,2,25.7142857,3.8461538
"1914","chrY_9987100"," 9987000",1,3,1,8.5714286,1.9230769
"13906","chrY_9989800"," 9989700",3,13,23,44.8275862,41.8181818
"6834","chrY_9989800"," 9989700",2,10,27,34.4827586,49.0909091
"1915","chrY_9989800"," 9989700",1,6,5,20.6896552,9.0909091
"13907","chrY_9991800"," 9991700",3,14,32,73.6842105,69.5652174
"6835","chrY_9991800"," 9991700",2,4,8,21.0526316,17.3913043
"1916","chrY_9991800"," 9991700",1,1,6,5.2631579,13.0434783
"13908","chrY_9994900"," 9994800",3,16,32,100,100
"13909","chrY_9995900"," 9995800",3,25,25,64.1025641,75.7575758
"6836","chrY_9995900"," 9995800",2,8,7,20.5128205,21.2121213
"1917","chrY_9995900"," 9995800",1,6,1,15.3846154,3.030303
"13910","chrY_10000100","10000000",3,11,9,57.8947368,42.8571429
"6837","chrY_10000100","10000000",2,4,9,21.0526316,42.8571428
"1918","chrY_10000100","10000000",1,4,3,21.0526316,14.2857143
"13911","chrY_10005300","10005200",3,11,8,91.6666667,72.7272727
"6838","chrY_10005300","10005200",2,1,3,8.3333333,27.2727273
"13912","chrY_10010700","10010600",3,29,23,67.4418605,69.6969697
"6839","chrY_10010700","10010600",2,11,9,25.5813953,27.2727273
"1919","chrY_10010700","10010600",1,3,1,6.9767442,3.030303
"13913","chrY_10010800","10010700",3,13,8,48.1481481,36.3636364
"6840","chrY_10010800","10010700",2,10,5,37.037037,22.7272727
"1920","chrY_10010800","10010700",1,4,9,14.8148148,40.9090909
"13914","chrY_10014000","10013900",3,18,31,66.6666667,79.4871795
"6841","chrY_10014000","10013900",2,3,3,11.1111111,7.6923077
"1921","chrY_10014000","10013900",1,6,5,22.2222222,12.8205128
"13915","chrY_10015200","10015100",3,4,6,21.0526316,46.1538462
"6842","chrY_10015200","10015100",2,11,3,57.8947369,23.0769231
"1922","chrY_10015200","10015100",1,4,4,21.0526316,30.7692308
"13916","chrY_10016100","10016000",3,8,11,30.7692308,39.2857143
"6843","chrY_10016100","10016000",2,11,10,42.3076923,35.7142857
"1923","chrY_10016100","10016000",1,7,7,26.9230769,25
"13917","chrY_10019400","10019300",3,18,14,100,100
"13918","chrY_10019600","10019500",3,11,20,73.3333333,80
"6844","chrY_10019600","10019500",2,4,5,26.6666667,20
"13919","chrY_10020500","10020400",3,10,12,90.9090909,70.5882353
"1924","chrY_10020500","10020400",1,1,5,9.0909091,29.4117647
"13920","chrY_10021000","10020900",3,5,11,31.25,47.826087
"6845","chrY_10021000","10020900",2,7,11,43.75,47.826087
"1925","chrY_10021000","10020900",1,4,1,25,4.3478261
"13921","chrY_10024300","10024200",3,39,26,75,74.2857143
"6846","chrY_10024300","10024200",2,8,5,15.3846154,14.2857143
"1926","chrY_10024300","10024200",1,5,4,9.6153846,11.4285714
"13922","chrY_10027500","10027400",3,4,5,21.0526316,35.7142857
"6847","chrY_10027500","10027400",2,12,8,63.1578947,57.1428571
"1927","chrY_10027500","10027400",1,3,1,15.7894737,7.1428571
"13923","chrY_10032000","10031900",3,11,10,57.8947368,62.5
"6848","chrY_10032000","10031900",2,8,6,42.1052632,37.5
"13924","chrY_10033400","10033300",3,12,3,38.7096774,14.2857143
"6849","chrY_10033400","10033300",2,8,10,25.8064516,47.6190476
"1928","chrY_10033400","10033300",1,11,8,35.483871,38.0952381
"13925","chrY_10033900","10033800",3,9,10,28.125,47.6190476
"6850","chrY_10033900","10033800",2,7,5,21.875,23.8095238
"1929","chrY_10033900","10033800",1,16,6,50,28.5714286
"13926","chrY_10042300","10042200",3,3,3,30,16.6666667
"6851","chrY_10042300","10042200",2,4,10,40,55.5555556
"1930","chrY_10042300","10042200",1,3,5,30,27.7777778
"13927","chrY_10042800","10042700",3,36,23,92.3076923,92
"6852","chrY_10042800","10042700",2,3,2,7.6923077,8
"13928","chrY_10045600","10045500",3,13,21,81.25,63.6363636
"6853","chrY_10045600","10045500",2,3,12,18.75,36.3636364
"13929","chrY_10045900","10045800",3,3,3,37.5,27.2727273
"6854","chrY_10045900","10045800",2,2,5,25,45.4545455
"1931","chrY_10045900","10045800",1,3,3,37.5,27.2727273
"13930","chrY_10053400","10053300",3,13,7,68.4210526,23.3333333
"6855","chrY_10053400","10053300",2,4,15,21.0526316,50
"1932","chrY_10053400","10053300",1,2,8,10.5263158,26.6666667
"13931","chrY_10057100","10057000",3,18,19,56.25,57.5757576
"6856","chrY_10057100","10057000",2,7,8,21.875,24.2424243
"1933","chrY_10057100","10057000",1,7,6,21.875,18.1818182
"13932","chrY_10057800","10057700",3,15,16,60,66.6666667
"6857","chrY_10057800","10057700",2,10,8,40,33.3333334
"13933","chrY_10058800","10058700",3,18,24,72,75
"6858","chrY_10058800","10058700",2,5,2,20,6.25
"1934","chrY_10058800","10058700",1,2,6,8,18.75
"13934","chrY_10066000","10065900",3,5,1,71.4285714,11.1111111
"1935","chrY_10066000","10065900",1,2,8,28.5714286,88.8888889
"13935","chrY_10066300","10066200",3,7,8,63.6363636,50
"6859","chrY_10066300","10066200",2,4,8,36.3636364,50
"13936","chrY_10067800","10067700",3,5,8,16.1290323,21.0526316
"6860","chrY_10067800","10067700",2,12,10,38.7096774,26.3157895
"1936","chrY_10067800","10067700",1,14,20,45.1612903,52.6315789
"13937","chrY_10071500","10071400",3,17,10,65.3846154,71.4285714
"6861","chrY_10071500","10071400",2,7,2,26.9230769,14.2857143
"1937","chrY_10071500","10071400",1,2,2,7.6923077,14.2857143
"13938","chrY_10085600","10085500",3,14,12,82.3529412,46.1538462
"6862","chrY_10085600","10085500",2,3,10,17.6470588,38.4615384
"1938","chrY_10085600","10085500",1,0,4,0,15.3846154
"13939","chrY_10086200","10086100",3,11,8,47.826087,34.7826087
"6863","chrY_10086200","10086100",2,4,6,17.3913043,26.0869565
"1939","chrY_10086200","10086100",1,8,9,34.7826087,39.1304348
"13940","chrY_10089000","10088900",3,3,7,33.3333333,38.8888889
"6864","chrY_10089000","10088900",2,6,11,66.6666667,61.1111111
"13941","chrY_10096200","10096100",3,11,11,33.3333333,37.9310345
"6865","chrY_10096200","10096100",2,14,13,42.4242424,44.8275862
"1940","chrY_10096200","10096100",1,8,5,24.2424242,17.2413793
"13942","chrY_10098800","10098700",3,10,5,23.255814,12.195122
"6866","chrY_10098800","10098700",2,19,22,44.1860465,53.6585366
"1941","chrY_10098800","10098700",1,14,14,32.5581395,34.1463415
"13943","chrY_10099700","10099600",3,14,18,50,51.4285714
"6867","chrY_10099700","10099600",2,7,14,25,40
"1942","chrY_10099700","10099600",1,7,3,25,8.5714286
"13944","chrY_10105100","10105000",3,26,10,99.9999999,100
"13945","chrY_10112100","10112000",3,16,12,100,100
"13946","chrY_10112700","10112600",3,13,12,59.0909091,70.5882353
"6868","chrY_10112700","10112600",2,9,5,40.9090909,29.4117647
"13947","chrY_10114300","10114200",3,14,31,82.3529412,72.0930233
"6869","chrY_10114300","10114200",2,3,12,17.6470588,27.9069768
"13948","chrY_10128500","10128400",3,21,9,95.4545455,60
"6870","chrY_10128500","10128400",2,1,6,4.5454545,40
"13949","chrY_10140000","10139900",3,5,11,41.6666667,73.3333333
"6871","chrY_10140000","10139900",2,5,1,41.6666667,6.6666667
"1943","chrY_10140000","10139900",1,2,3,16.6666667,20
"13950","chrY_10150700","10150600",3,3,1,30,14.2857143
"6872","chrY_10150700","10150600",2,7,6,70,85.7142857
"13951","chrY_10154400","10154300",3,12,15,100,100
"13952","chrY_10158500","10158400",3,21,21,65.625,60
"6873","chrY_10158500","10158400",2,9,9,28.125,25.7142857
"1944","chrY_10158500","10158400",1,2,5,6.25,14.2857143
"13953","chrY_10161900","10161800",3,44,44,75.862069,86.2745098
"6874","chrY_10161900","10161800",2,14,7,24.137931,13.7254902
"13954","chrY_10164600","10164500",3,3,3,23.0769231,33.3333333
"6875","chrY_10164600","10164500",2,5,6,38.4615385,66.6666667
"1945","chrY_10164600","10164500",1,5,0,38.4615385,0
"13955","chrY_10165700","10165600",3,26,26,99.9999999,100
"13956","chrY_10165800","10165700",3,8,7,100,100
"13957","chrY_10167500","10167400",3,19,22,54.2857143,55
"6876","chrY_10167500","10167400",2,14,8,40,20
"1946","chrY_10167500","10167400",1,2,10,5.7142857,25
"13958","chrY_10170500","10170400",3,14,13,82.3529412,76.4705882
"1947","chrY_10170500","10170400",1,3,4,17.6470588,23.5294118
"13959","chrY_10172700","10172600",3,28,41,59.5744681,59.4202899
"6877","chrY_10172700","10172600",2,15,22,31.9148936,31.884058
"1948","chrY_10172700","10172600",1,4,6,8.5106383,8.6956522
"13960","chrY_10176800","10176700",3,5,16,38.4615385,61.5384615
"6878","chrY_10176800","10176700",2,8,10,61.5384615,38.4615385
"13961","chrY_10179900","10179800",3,10,10,100,100
"13962","chrY_10184300","10184200",3,10,10,55.5555556,52.6315789
